OID_,FID_BLM_AK,OBJECTID,AGENCY_NAM,ADMIN_AGEN,ADMIN_UNIT,ADMIN_UN_1,ADMIN_DEPT,ADMIN_DE_1,ADMIN_ST,Date_Proce,Shape_Leng,Shape_Area,FID_19a_wc,FID_Subuni,Region,UnitSub,SubLabel,SubLetter,Shape_Le_1,Shape_Ar_1,SqMi,FID_19Awca,Id,sqMi_1,Name,sqMi_calc
1173,361561,361562,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,2391.558758659999967,24647.265000700001110,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.002162317731780
1174,361567,361568,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,2790.925051170000188,386182.519999000011012,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.034105349852600
1175,361587,361588,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,1072.219571829999950,54559.590000199998030,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.004839673291110
1176,361588,361589,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,25.166054330498113,27.880000018775462,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.000002472644901
1177,361589,361590,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,946.993028809088969,34225.190000100003090,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.003030199668180
1178,361591,361592,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,3511.503484480000225,228035.374995999998646,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.003204369174310
1179,361592,361593,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,2597.460057700000107,9869.440000329999748,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.000770340400762
1180,361593,361594,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,89.808342318763806,150.530000094585120,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.000013316292248
1181,361594,361595,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,4378.682853839999552,705116.820001999964006,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.062383558193000
1182,361599,361600,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,116.013725860834256,228.425000031106180,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.000020068250238
1183,361600,361601,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,480.114855637517394,1769.854999659999976,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.000155481321504
1184,361601,361602,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,1870.288012909999907,147788.019999999989523,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.012983706234200
1185,361602,361603,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,3093.521780130000025,169863.570000000006985,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.014943432193000
1186,361603,361604,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,206.573017920732411,166.830000193864123,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.000014631619241
1187,361604,361605,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,2452.787108959999841,249970.845000000001164,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.021921473679700
1188,361605,361606,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,4199.933960489999663,626400.770003000041470,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.054921192814100
1189,361606,361607,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,2048.405456980000054,13258.415001100000154,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.001164661449830
1190,361607,361608,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,4442.541379190000043,798896.135001000016928,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.070342323708300
1191,361608,361609,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,2363.869550360000176,230474.649999999994179,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.020303756686500
1192,361609,361610,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,3105.250974049999968,294216.715000999975018,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.025894397255800
1193,361610,361611,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,662.219936338080856,10893.699999399999797,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.000959678434155
