FID,FID_BLM_AK,SMA_ID,IWA_ID,FAU_ID,Shape_Leng,AGENCY_NAM,ADMIN_AGEN,ADMIN_UNIT,ADMIN_UN_1,ADMIN_DEPT,ADMIN_DE_1,ADMIN_TYPE,Inland_Wat,ADMIN_ST,Date_Proce,Shape_STAr,Shape_STLe,FID_Predat,REGION,EFFSTART,EFFEND,SQMI,DESC_,INT_MGT_PL,AREANAME,Shape_Le_1,Shape_Area,SQKM,STATUS,UNIT,UNIT_LABEL,TYPE,SPECIES,sqMi_calc
906,123946,4897,2386,306,12224.154173400000218,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,454115.673737999983132,12224.154173400000218,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,0.1753350
907,123947,4897,2386,306,11310.568644099999801,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,821759.894730000058189,11310.568644099999801,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,0.3172830
908,123948,4897,2386,306,46245.325032100001408,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,4669046.649120000191033,46245.325032100001408,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,1.8027300
909,123949,5142,5142,0,76731.586077600004501,Alaska Native Lands Patented or Interim Conveyed,NTVPIC, ,"MTNT, Limited",Alaska Native Lands Patented or Interim Conveyed,NTVPIC,Not Applicable,Alaska Native Lands Patented or Interim Conveyed,AK,8/17/2021 0:00:00,25278772.410799998790026,76731.586077600004501,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,9.7601900
910,123951,5142,5142,0,23392.833933499998238,Alaska Native Lands Patented or Interim Conveyed,NTVPIC, ,"Doyon, Limited",Alaska Native Lands Patented or Interim Conveyed,NTVPIC,Not Applicable,Alaska Native Lands Patented or Interim Conveyed,AK,8/17/2021 0:00:00,19815092.614799998700619,23392.833933499998238,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,7.6506500
911,123952,5142,5142,0,68986.626061300004949,Alaska Native Lands Patented or Interim Conveyed,NTVPIC, ,"Doyon, Limited",Alaska Native Lands Patented or Interim Conveyed,NTVPIC,Not Applicable,Alaska Native Lands Patented or Interim Conveyed,AK,8/17/2021 0:00:00,90268802.341900005936623,68986.626061300004949,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,34.8530006
912,123953,5142,5142,0,38596.448252900001535,Alaska Native Lands Patented or Interim Conveyed,NTVPIC, ,"Doyon, Limited",Alaska Native Lands Patented or Interim Conveyed,NTVPIC,Not Applicable,Alaska Native Lands Patented or Interim Conveyed,AK,8/17/2021 0:00:00,93104920.892599999904633,38596.448252900001535,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,35.9480019
913,123954,5142,5142,0,71038.138065799998003,Alaska Native Lands Patented or Interim Conveyed,NTVPIC, ,"Doyon, Limited",Alaska Native Lands Patented or Interim Conveyed,NTVPIC,Not Applicable,Alaska Native Lands Patented or Interim Conveyed,AK,8/17/2021 0:00:00,89840377.722100004553795,71038.138065799998003,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,34.6875992
914,123955,5142,5142,0,105056.414871000000858,Alaska Native Lands Patented or Interim Conveyed,NTVPIC, ,"Doyon, Limited",Alaska Native Lands Patented or Interim Conveyed,NTVPIC,Not Applicable,Alaska Native Lands Patented or Interim Conveyed,AK,8/17/2021 0:00:00,179985871.161000013351440,105056.414871000000858,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,69.4928970
915,123956,5142,5142,0,29546.802232800000638,Alaska Native Lands Patented or Interim Conveyed,NTVPIC, ,"Doyon, Limited",Alaska Native Lands Patented or Interim Conveyed,NTVPIC,Not Applicable,Alaska Native Lands Patented or Interim Conveyed,AK,8/17/2021 0:00:00,12867324.462099999189377,29546.802232800000638,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,4.9681001
